;movie_code;duration;facenumber_in_poster;country;budget;gross;num_voted_users;num_user_for_reviews;num_critic_for_reviews;movie_facebook_likes;director_facebook_likes;actor_1_facebook_likes;actor_2_facebook_likes;actor_3_facebook_likes;cast_total_facebook_likes;imdb_score;imdb_score_class
780;781;117.0;1.0;UK;80000000.0;43290977.0;75201;256.0;258.0;0;258.0;2000.0;1000.0;896.0;7053;6.6;Good
724;725;101.0;2.0;USA;60000000.0;93307796.0;85673;269.0;118.0;0;30.0;1000.0;976.0;268.0;2636;6.1;Good
1361;1362;110.0;2.0;USA;38000000.0;623374.0;4757;67.0;31.0;474;49.0;1000.0;569.0;427.0;2120;5.2;Fair
3200;3201;97.0;2.0;USA;10000000.0;7574066.0;30325;96.0;270.0;0;387.0;6000.0;139.0;64.0;6322;6.3;Good
3109;3110;107.0;2.0;Australia;12305523.0;36200000.0;101840;193.0;117.0;0;750.0;794.0;531.0;60.0;1529;6.2;Good
1152;1153;93.0;0.0;USA;40000000.0;29113588.0;117999;181.0;252.0;16000;165.0;26000.0;956.0;350.0;27834;6.6;Good
1524;1525;101.0;0.0;USA;33000000.0;51758599.0;27580;232.0;107.0;742;43.0;2000.0;1000.0;655.0;5942;5.5;Fair
295;296;165.0;1.0;USA;100000000.0;162804648.0;955174;1193.0;765.0;199000;16000.0;29000.0;11000.0;265.0;40978;8.5;Excellent
4119;4120;98.0;0.0;Germany;2700000.0;95016.0;11074;56.0;40.0;442;7.0;289.0;38.0;17.0;362;7.4;Good
1470;1471;107.0;5.0;USA;55000000.0;19389454.0;54643;335.0;173.0;0;161.0;21000.0;826.0;549.0;22974;7.4;Good
3808;3809;67.0;2.0;USA;10000000.0;;83;1.0;3.0;165;0.0;979.0;732.0;388.0;2509;6.7;Good
1436;1437;100.0;0.0;UK;33000000.0;39532308.0;198701;1138.0;226.0;0;545.0;14000.0;2000.0;766.0;17902;6.7;Good
1651;1652;113.0;0.0;USA;32000000.0;39568996.0;138435;527.0;304.0;0;171.0;430.0;72.0;63.0;814;6.6;Good
3015;3016;99.0;;USA;12000000.0;91443253.0;21034;153.0;82.0;23000;130.0;399.0;116.0;79.0;663;5.8;Fair
1527;1528;89.0;0.0;USA;30000000.0;21426805.0;49312;211.0;195.0;0;21.0;614.0;150.0;48.0;843;4.9;Fair
2045;2046;98.0;1.0;USA;24000000.0;23225911.0;80574;157.0;196.0;12000;88.0;12000.0;854.0;706.0;14699;6.5;Good
81;82;97.0;2.0;USA;180000000.0;241407328.0;252257;634.0;401.0;89000;171.0;11000.0;2000.0;846.0;15516;7.0;Good
413;414;131.0;1.0;USA;68000000.0;51396781.0;188887;662.0;187.0;0;218.0;5000.0;35.0;29.0;5103;7.6;Good
2756;2757;120.0;2.0;USA;14500000.0;46338728.0;167750;506.0;106.0;10000;1000.0;29000.0;1000.0;954.0;33791;6.8;Good
2376;2377;129.0;1.0;USA;19000000.0;8396942.0;72715;103.0;102.0;0;51.0;948.0;822.0;630.0;4324;6.5;Good
1918;1919;124.0;0.0;USA;25000000.0;36447959.0;35833;96.0;151.0;10000;44.0;4000.0;774.0;367.0;6393;7.0;Good
2379;2380;97.0;4.0;USA;23000000.0;6923891.0;43867;83.0;136.0;0;31.0;2000.0;2000.0;562.0;5519;6.3;Good
4382;4383;98.0;3.0;USA;1700000.0;1943649.0;8697;122.0;77.0;374;3.0;349.0;347.0;327.0;2095;6.3;Good
1636;1637;102.0;0.0;USA;;49186871.0;12570;86.0;73.0;771;7.0;984.0;934.0;521.0;2910;5.2;Fair
3672;3673;105.0;0.0;USA;5500000.0;;36381;169.0;72.0;0;16000.0;16000.0;742.0;258.0;17599;7.6;Good
4740;4741;86.0;3.0;USA;500000.0;334041.0;1038;21.0;17.0;51;204.0;659.0;529.0;474.0;2322;6.5;Good
4656;4657;86.0;2.0;USA;990000.0;;2706;23.0;16.0;549;63.0;489.0;207.0;175.0;1278;4.9;Fair
3897;3898;91.0;1.0;USA;4000000.0;35385560.0;27198;131.0;149.0;8000;357.0;3000.0;465.0;326.0;4807;4.6;Fair
2472;2473;89.0;1.0;Netherlands;17900000.0;;30215;95.0;59.0;0;130.0;444.0;312.0;183.0;1243;5.0;Fair
612;613;116.0;2.0;USA;70000000.0;30157016.0;39659;189.0;128.0;792;541.0;12000.0;405.0;384.0;12993;5.6;Fair
254;255;126.0;2.0;USA;120000000.0;186336103.0;348861;798.0;233.0;0;218.0;11000.0;11000.0;322.0;22722;6.5;Good
799;800;118.0;0.0;USA;60000000.0;22451.0;41288;126.0;189.0;17000;167.0;20000.0;882.0;778.0;22447;6.2;Good
4829;4830;80.0;3.0;USA;300000.0;2360184.0;18035;177.0;131.0;0;54.0;1000.0;806.0;543.0;3010;7.1;Good
3652;3653;86.0;1.0;USA;6000000.0;20200.0;6797;21.0;43.0;0;4.0;11000.0;485.0;444.0;12772;5.8;Fair
3997;3998;96.0;2.0;USA;3500000.0;9449219.0;13949;98.0;43.0;453;0.0;385.0;356.0;111.0;995;6.1;Good
552;553;148.0;2.0;USA;75000000.0;39251128.0;31080;217.0;91.0;0;72.0;582.0;103.0;99.0;804;6.7;Good
4657;4658;90.0;1.0;USA;100000.0;;169;6.0;7.0;312;8.0;1000.0;806.0;487.0;3336;3.2;Bad
3789;3790;118.0;0.0;USA;;228830.0;3329;22.0;121.0;489;239.0;6.0;0.0;0.0;6;7.5;Good
2581;2582;120.0;3.0;USA;16000000.0;1984743.0;20616;70.0;230.0;0;115.0;10000.0;316.0;310.0;11019;6.6;Good
3547;3548;101.0;8.0;USA;6800000.0;10696.0;10771;65.0;25.0;413;0.0;240.0;83.0;83.0;490;6.4;Good
2934;2935;93.0;1.0;USA;12000000.0;37188667.0;34219;578.0;111.0;0;33.0;1000.0;188.0;135.0;1531;3.3;Bad
378;379;117.0;1.0;USA;95000000.0;65653758.0;102747;316.0;157.0;0;101.0;18000.0;11000.0;3000.0;33154;5.5;Fair
4552;4553;95.0;3.0;USA;1000000.0;5997134.0;36381;126.0;337.0;11000;20.0;422.0;374.0;365.0;1899;7.2;Good
1622;1623;114.0;1.0;USA;30000000.0;60033780.0;18973;162.0;65.0;0;0.0;970.0;631.0;545.0;2860;5.9;Fair
3183;3184;121.0;2.0;USA;9000000.0;21569041.0;8058;57.0;91.0;0;57.0;1000.0;837.0;664.0;3745;6.6;Good
2341;2342;30.0;4.0;UK;;;18;;;0;;310.0;11.0;9.0;344;7.2;Good
3853;3854;133.0;1.0;USA;4500000.0;727883.0;580999;2110.0;283.0;33000;219.0;15000.0;933.0;701.0;17040;8.1;Excellent
1481;1482;116.0;1.0;UK;27000000.0;;23351;178.0;57.0;0;170.0;14000.0;192.0;136.0;14744;6.0;Fair
3475;3476;143.0;4.0;Australia;105000000.0;144812796.0;362933;753.0;490.0;115000;1000.0;29000.0;509.0;76.0;29769;7.3;Good
2936;2937;172.0;0.0;USA;12000000.0;;76398;258.0;112.0;0;76.0;654.0;416.0;78.0;1306;8.0;Good
1887;1888;121.0;1.0;UK;25000000.0;71309760.0;150308;498.0;152.0;18000;529.0;541.0;399.0;163.0;1323;7.3;Good
1502;1503;114.0;1.0;France;35000000.0;6592103.0;28584;232.0;149.0;675;0.0;548.0;298.0;115.0;1005;6.3;Good
1432;1433;91.0;3.0;USA;35000000.0;43792641.0;32157;119.0;120.0;913;42.0;49000.0;838.0;766.0;52566;5.3;Fair
4139;4140;97.0;1.0;Italy;3000000.0;;240;9.0;9.0;37;96.0;201.0;39.0;37.0;277;6.2;Good
539;540;102.0;1.0;USA;75000000.0;66636385.0;88451;289.0;269.0;0;0.0;22000.0;15000.0;15000.0;60646;7.1;Good
1818;1819;109.0;0.0;UK;25000000.0;;19568;208.0;56.0;0;181.0;303.0;146.0;137.0;960;6.7;Good
2538;2539;128.0;0.0;USA;16400000.0;95860116.0;277451;491.0;96.0;23000;608.0;49000.0;1000.0;1000.0;51609;8.0;Good
829;830;97.0;2.0;USA;58000000.0;28328132.0;38298;147.0;117.0;782;420.0;4000.0;3000.0;455.0;9814;6.3;Good
2297;2298;108.0;3.0;USA;20000000.0;8054280.0;6838;117.0;76.0;924;54.0;786.0;567.0;463.0;2730;6.3;Good
4772;4773;97.0;5.0;USA;500000.0;;259;20.0;10.0;707;163.0;636.0;456.0;303.0;2438;7.4;Good
3035;3036;81.0;0.0;USA;13000000.0;46563158.0;207934;629.0;216.0;0;541.0;991.0;465.0;328.0;2562;7.1;Good
2962;2963;93.0;1.0;USA;12000000.0;27829874.0;196422;444.0;170.0;0;83.0;26000.0;725.0;501.0;28767;7.0;Good
695;696;94.0;1.0;Hong Kong;65000000.0;19548064.0;25681;77.0;138.0;0;42.0;12000.0;9000.0;668.0;23365;6.3;Good
2051;2052;119.0;0.0;USA;19000000.0;65807024.0;172405;203.0;63.0;0;0.0;10000.0;345.0;244.0;11013;6.8;Good
4186;4187;75.0;0.0;USA;2500000.0;32230907.0;6062;30.0;26.0;0;15.0;1000.0;309.0;36.0;1385;6.7;Good
1485;1486;111.0;3.0;USA;35000000.0;11405825.0;28542;208.0;119.0;0;529.0;18000.0;826.0;505.0;19805;6.8;Good
1793;1794;100.0;2.0;France;28000000.0;20285518.0;32103;112.0;177.0;0;11.0;23000.0;727.0;561.0;25387;5.7;Fair
4669;4670;93.0;4.0;USA;600000.0;35688.0;4167;72.0;6.0;0;247.0;247.0;217.0;152.0;954;5.1;Fair
2386;2387;97.0;8.0;Canada;15000000.0;20433940.0;78883;662.0;252.0;0;0.0;654.0;529.0;233.0;1876;6.2;Good
1309;1310;108.0;0.0;Germany;33000000.0;10326062.0;121432;310.0;219.0;10000;22.0;12000.0;2000.0;61.0;14127;6.8;Good
3794;3795;90.0;3.0;USA;2000000.0;99147.0;1884;28.0;31.0;69;204.0;1000.0;697.0;697.0;3207;6.2;Good
1712;1713;122.0;3.0;USA;18000000.0;26830000.0;101888;365.0;60.0;0;380.0;18000.0;11000.0;2000.0;32930;7.9;Good
2096;2097;83.0;0.0;USA;22000000.0;22264487.0;41239;166.0;98.0;887;2.0;591.0;489.0;137.0;1729;4.6;Fair
3995;3996;92.0;0.0;USA;3500000.0;25138292.0;66483;452.0;425.0;43000;22.0;648.0;191.0;159.0;1122;6.8;Good
3223;3224;111.0;2.0;USA;4000000.0;228524.0;8708;56.0;73.0;345;24.0;374.0;181.0;83.0;768;7.3;Good
3270;3271;104.0;3.0;UK;6000000.0;2600000.0;11612;88.0;56.0;0;12.0;21000.0;1000.0;1000.0;23962;7.5;Good
4157;4158;106.0;0.0;USA;2800000.0;86300000.0;112671;315.0;129.0;14000;0.0;1000.0;595.0;481.0;2703;8.0;Good
1773;1774;99.0;0.0;USA;28000000.0;33000377.0;27378;365.0;122.0;0;71.0;18000.0;1000.0;1000.0;23344;4.9;Fair
1830;1831;135.0;1.0;France;27000000.0;;926;19.0;38.0;359;0.0;5.0;4.0;3.0;24;6.6;Good
2576;2577;112.0;0.0;USA;16000000.0;4839383.0;21613;148.0;109.0;762;11000.0;11000.0;650.0;642.0;12766;6.6;Good
4076;4077;186.0;0.0;USA;3000000.0;;44457;176.0;73.0;0;176.0;877.0;862.0;760.0;3847;8.3;Excellent
2350;2351;105.0;0.0;Panama;20000000.0;;178;1.0;;0;23.0;22000.0;2000.0;897.0;27425;7.2;Good
272;273;82.0;1.0;USA;109000000.0;100446895.0;36033;456.0;109.0;946;34.0;760.0;743.0;434.0;2762;3.8;Bad
4340;4341;89.0;1.0;USA;2000000.0;;1040;22.0;32.0;0;20000.0;2000.0;860.0;618.0;4968;4.5;Fair
1249;1250;102.0;0.0;USA;40000000.0;41797066.0;92789;998.0;211.0;0;25.0;1000.0;741.0;473.0;4324;4.7;Fair
121;122;105.0;2.0;USA;150000000.0;177243721.0;130272;209.0;185.0;2000;189.0;49000.0;3000.0;1000.0;54039;5.9;Fair
686;687;105.0;1.0;France;65000000.0;10014234.0;8560;69.0;60.0;177;0.0;975.0;909.0;506.0;3580;5.0;Fair
2107;2108;98.0;0.0;Canada;22000000.0;14252830.0;18900;242.0;93.0;0;4.0;3000.0;486.0;83.0;3769;5.3;Fair
3568;3569;116.0;4.0;UK;6500000.0;2268296.0;41856;119.0;200.0;12000;129.0;10000.0;918.0;782.0;13180;6.9;Good
1054;1055;96.0;1.0;USA;47000000.0;60154431.0;122347;345.0;72.0;0;0.0;2000.0;1000.0;302.0;3718;6.0;Fair
2517;2518;134.0;6.0;UK;17000000.0;15681020.0;33570;259.0;94.0;1000;22.0;1000.0;593.0;488.0;3007;3.6;Bad
1377;1378;122.0;1.0;USA;37000000.0;191449475.0;348007;1535.0;350.0;19000;308.0;17000.0;12000.0;10000.0;44060;5.2;Fair
1365;1366;130.0;0.0;USA;40000000.0;9589875.0;16673;45.0;86.0;0;39.0;2000.0;898.0;534.0;5162;7.3;Good
1806;1807;148.0;1.0;USA;27000000.0;54200000.0;142448;319.0;125.0;14000;644.0;1000.0;809.0;326.0;2566;7.9;Good
2446;2447;108.0;0.0;USA;18000000.0;6000000.0;10832;102.0;60.0;0;25.0;1000.0;115.0;94.0;1263;6.7;Good
4043;4044;105.0;4.0;USA;3200000.0;5776314.0;73349;142.0;261.0;15000;101.0;1000.0;394.0;157.0;2016;7.2;Good
